,地区,新增确诊,累计确诊,治愈,死亡,疫情
0,美国,26760,557590,41831,22109,详情
1,西班牙,3100,166127,62391,17113,详情
2,意大利,4092,156363,34211,19899,详情
3,法国,2940,133670,27469,14412,详情
4,德国,2020,127854,64300,3022,详情
5,英国,5288,85199,625,10629,详情
6,伊朗,1657,71686,43894,4474,详情
7,土耳其,4789,56956,3446,1198,详情
8,比利时,1629,29647,6463,3600,详情
9,荷兰,1181,25746,295,2747,详情
10,瑞士,308,25407,12700,1106,详情
11,加拿大,663,24380,7172,717,详情
12,巴西,1276,22318,173,1230,详情
13,葡萄牙,598,16585,277,504,详情
14,俄罗斯,2186,15770,1291,130,详情
15,奥地利,163,13945,6987,350,详情
16,以色列,267,11145,1627,103,详情
17,韩国,25,10537,7447,217,详情
18,瑞典,332,10483,381,899,详情
19,爱尔兰,727,9655,25,334,详情
20,印度,736,9240,1096,331,详情
21,秘鲁,671,7519,1798,193,详情
22,厄瓜多尔,209,7466,501,333,详情
23,日本,622,7370,784,123,详情
24,智利,712,7213,2059,80,详情
25,波兰,586,6674,439,232,详情
26,挪威,40,6525,32,128,详情
27,丹麦,178,6369,2291,273,详情
28,澳大利亚,36,6351,1806,61,详情
29,罗马尼亚,310,6300,852,316,详情
30,捷克,86,5991,464,138,详情
31,巴基斯坦,204,5374,1095,93,详情
32,马来西亚,153,4683,2108,76,详情
33,墨西哥,442,4661,1843,296,详情
34,菲律宾,220,4648,197,297,详情
35,沙特阿拉伯,429,4462,761,59,详情
36,印度尼西亚,399,4241,359,373,详情
37,阿联酋,387,4123,680,22,详情
38,塞尔维亚,250,3630,0,80,
39,巴拿马,166,3400,29,87,详情
40,卢森堡,11,3281,500,66,详情
41,卡塔尔,251,2979,275,7,详情
42,芬兰,69,2974,300,56,详情
43,多米尼加,208,2967,131,173,
44,乌克兰,266,2777,89,83,
45,哥伦比亚,67,2776,270,109,详情
46,泰国,28,2579,1288,40,详情
47,白俄罗斯,352,2578,203,26,详情
48,新加坡,233,2532,560,8,详情
49,阿根廷,66,2208,468,95,详情
50,南非,145,2173,410,25,详情
51,希腊,103,2114,269,98,详情
52,埃及,126,2065,589,159,详情
53,阿尔及利亚,89,1914,591,293,
54,冰岛,12,1701,889,8,详情
55,摩尔多瓦,224,1662,94,31,
56,摩洛哥,44,1661,177,118,
57,克罗地亚,66,1600,373,23,
58,匈牙利,48,1458,120,109,详情
59,伊拉克,34,1352,640,76,详情
60,新西兰,19,1349,546,5,详情
61,爱沙尼亚,5,1309,98,25,
62,科威特,80,1234,142,1,详情
63,斯洛文尼亚,17,1205,150,53,详情
64,巴林,49,1136,558,6,详情
65,阿塞拜疆,107,1098,250,11,
66,立陶宛,9,1062,101,24,
67,亚美尼亚,46,1013,197,13,
68,波黑,9,1009,193,39,
69,哈萨克斯坦,61,972,99,11,详情
70,乌兹别克斯坦,63,896,66,4,详情
71,北马其顿,68,828,41,34,
72,喀麦隆,0,820,98,12,
73,斯洛伐克,14,742,23,2,
74,钻石号邮轮,0,712,619,11,
75,突尼斯,22,707,43,31,
76,保加利亚,1,676,71,31,
77,古巴,49,669,92,18,详情
78,拉脱维亚,21,651,16,5,
79,安道尔,37,638,128,29,
80,塞浦路斯,17,633,65,11,
81,黎巴嫩,11,630,80,20,详情
82,孟加拉,139,621,39,34,
83,阿富汗,52,607,32,19,
84,阿曼,53,599,109,4,详情
85,哥斯达黎加,18,595,56,3,详情
86,科特迪瓦,41,574,85,5,详情
87,加纳,158,566,4,8,详情
88,尼日尔,38,529,75,12,详情
89,布基纳法索,13,497,161,27,
90,乌拉圭,7,480,231,8,详情
91,阿尔巴尼亚,13,446,217,23,详情
92,吉尔吉斯斯坦,42,419,67,5,详情
93,洪都拉斯,4,397,7,25,
94,约旦,8,389,201,7,
95,马耳他,8,378,44,3,
96,圣马力诺,0,356,53,35,
97,玻利维亚,30,330,2,27,详情
98,毛里求斯,6,324,42,9,
99,尼日利亚,5,323,85,10,
100,波多黎各,30,316,0,12,详情
101,塞内加尔,2,280,171,2,
102,黑山,5,272,5,3,详情
103,越南,2,262,144,0,详情
104,格鲁吉亚,5,257,67,3,
105,几内亚,38,250,17,0,详情
106,刚果（金）,11,234,16,20,
107,吉布提,27,214,36,2,详情
108,斯里兰卡,7,210,56,7,
109,肯尼亚,6,197,25,8,详情
110,委内瑞拉,6,181,93,9,详情
111,巴勒斯坦,6,161,18,1,详情
112,危地马拉,2,155,19,5,详情
113,巴拉圭,13,147,22,6,
114,萨尔瓦多,12,137,22,6,详情
115,文莱,0,136,106,1,
116,卢旺达,6,126,25,0,详情
117,柬埔寨,2,122,77,0,
118,特立尼达和多巴哥,4,113,16,8,
119,马达加斯加,4,106,20,0,详情
120,马里,18,105,22,9,详情
121,摩纳哥,1,93,6,1,
122,列支敦士登公国,0,79,55,1,
123,多哥,0,76,29,3,
124,牙买加,3,72,16,4,详情
125,巴巴多斯,3,71,11,4,
126,埃塞俄比亚,2,71,10,3,详情
127,刚果（布）,0,60,5,5,
128,乌干达,1,54,4,0,详情
129,利比里亚,13,50,3,5,详情
130,加蓬,5,49,1,1,详情
131,巴哈马,4,46,5,8,详情
132,圭亚那,5,45,8,6,详情
133,赞比亚,3,43,30,2,详情
134,缅甸,3,41,2,4,详情
135,几内亚比绍,0,38,0,0,详情
136,马提尼克岛,5,37,0,1,
137,贝宁,0,35,5,1,详情
138,厄立特里亚,0,34,0,0,详情
139,海地,2,33,0,3,详情
140,坦桑尼亚,0,32,5,3,详情
141,利比亚,1,25,9,1,详情
142,叙利亚,6,25,5,2,详情
143,索马里,4,25,2,1,详情
144,安提瓜和巴布达,0,21,0,2,
145,赤道几内亚,3,21,3,0,详情
146,莫桑比克,1,21,2,0,详情
147,马尔代夫,1,20,14,0,
148,安哥拉,0,19,4,2,详情
149,苏丹,0,19,2,2,详情
150,老挝,1,19,0,0,详情
151,乍得,7,18,2,0,详情
152,蒙古,1,17,4,0,
153,多米尼克,0,16,8,0,
154,纳米比亚,0,16,3,0,详情
155,斐济,0,16,0,0,
156,圣卢西亚,0,15,4,0,
157,津巴布韦,1,14,0,3,详情
158,斯威士兰,2,14,7,0,详情
159,格林纳达,0,14,0,0,
160,伯利兹,1,14,0,2,详情
161,尼泊尔,1,13,1,0,
162,马拉维,1,13,0,2,详情
163,博茨瓦纳,0,13,0,1,详情
164,圣文森特和格林纳丁斯,0,12,1,0,
165,圣基茨和尼维斯,0,12,0,0,
166,塞舌尔,0,11,0,0,
167,苏里南,0,10,4,1,
168,塞拉利昂,2,10,0,0,
169,冈比亚,5,9,2,1,
170,尼加拉瓜,1,9,4,1,
171,梵蒂冈,0,8,2,0,
172,佛得角,0,8,1,1,
173,中非共和国,0,8,0,0,
174,毛里塔尼亚,0,7,2,1,
175,布隆迪,2,5,0,0,
176,不丹,0,5,2,0,
177,东帝汶,0,2,1,0,
178,巴布亚新几内亚,0,2,0,0,
179,也门,0,1,0,0,
